127.0.0.1 - - [29/Apr/2022:10:10:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:52 +0900] "GET /web01/ HTTP/1.1" 200 4844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:52 +0900] "GET /web01/img/lg_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:58 +0900] "GET /web01/story1.jsp HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:58 +0900] "GET /web01/datatables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:58 +0900] "GET /web01/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:59 +0900] "GET /DataTables-1.11.3/images/sort_both.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:10:59 +0900] "GET /DataTables-1.11.3/images/sort_asc.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:12 +0900] "GET /web01/ HTTP/1.1" 200 4844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:18 +0900] "GET /web01/story1.jsp HTTP/1.1" 200 7309
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:18 +0900] "GET /DataTables-1.11.3/images/sort_both.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:18 +0900] "GET /DataTables-1.11.3/images/sort_asc.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:21 +0900] "GET /web01/boardDetail.jsp?bno=1 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2022:10:58:27 +0900] "GET /web01/boardDetail.jsp?bno=1 HTTP/1.1" 404 807
